Barometer - mm Hg,Hum - %,Dew Point - °C,Wind Speed - m/s,Rain - mm,Rain Rate - mm/h,Heat Index - °C,Temp - °C,Season,Day_Night,Wind_Dir_sin,Wind_Dir_cos
757.3,73.0,19.9,2.2,0.0,0.0,26.3,25.1,0,1,0.0,1.0
757.5,68.0,19.5,2.7,0.0,0.0,26.9,25.9,0,1,0.0,1.0
757.4,72.0,21.2,2.2,0.0,0.0,28.4,26.7,0,1,0.0,1.0
757.0,66.0,20.1,2.7,0.0,0.0,28.4,27.0,0,1,0.0,1.0
756.2,63.0,20.2,2.7,0.0,0.0,29.5,27.9,0,1,0.0,1.0
755.4,60.0,20.1,2.7,0.0,0.0,30.5,28.7,0,1,0.0,1.0
754.8,62.0,20.5,2.7,0.0,0.0,30.3,28.4,0,1,0.0,1.0
754.3,62.0,20.4,2.7,0.0,0.0,30.2,28.4,0,1,0.0,1.0
754.4,66.0,21.1,2.7,0.0,0.0,30.1,28.0,0,1,0.0,1.0
754.5,72.0,21.7,2.7,0.0,0.0,29.2,27.2,0,1,0.0,1.0
755.0,75.0,21.1,2.2,0.0,0.0,27.4,25.8,0,1,0.0,1.0
755.6,77.0,20.8,2.2,0.0,0.0,26.6,25.1,0,0,0.0,1.0
756.0,77.0,20.3,2.2,0.0,0.0,26.1,24.6,0,0,0.0,1.0
756.5,79.0,20.2,2.7,0.0,0.0,25.6,24.1,0,0,0.0,1.0
756.9,80.0,19.8,2.2,0.0,0.0,24.7,23.5,0,0,0.0,1.0
756.6,82.0,19.9,1.8,0.0,0.0,24.2,23.1,0,0,0.0,1.0
756.3,81.0,19.3,1.8,0.0,0.0,23.7,22.7,0,0,0.0,1.0
756.1,81.0,19.3,1.8,0.0,0.0,23.7,22.7,0,0,0.0,1.0
755.8,80.0,18.9,2.2,0.0,0.0,23.4,22.6,0,0,0.0,1.0
755.5,80.0,18.8,2.2,0.0,0.0,23.3,22.4,0,0,0.0,1.0
755.5,81.0,18.9,2.2,0.0,0.0,23.2,22.3,0,0,0.0,1.0
755.9,80.0,18.6,2.2,0.0,0.0,23.0,22.2,0,0,0.0,1.0
756.3,79.0,18.3,2.7,0.0,0.0,22.8,22.1,0,1,0.0,1.0
756.7,79.0,18.0,2.2,0.0,0.0,22.4,21.8,0,1,0.0,1.0
757.4,74.0,17.1,2.7,0.0,0.0,22.4,21.9,0,1,0.0,1.0
757.6,68.0,16.7,3.1,0.0,0.0,23.4,22.9,0,1,0.0,1.0
757.8,64.0,16.1,3.6,0.0,0.0,23.9,23.3,0,1,0.0,1.0
757.7,64.0,16.4,3.6,0.0,0.0,24.3,23.6,0,1,0.0,1.0
757.2,63.0,16.4,4.0,0.0,0.0,24.5,23.9,0,1,0.0,1.0
756.5,62.0,16.3,3.6,0.0,0.0,24.6,24.1,0,1,0.0,1.0
756.2,62.0,16.0,3.6,0.0,0.0,24.3,23.7,0,1,0.0,1.0
756.2,63.0,15.6,4.0,0.0,0.0,23.5,23.1,0,1,0.0,1.0
756.3,65.0,15.3,4.0,0.0,0.0,22.4,22.2,0,1,0.0,1.0
757.0,67.0,14.7,3.1,0.0,0.0,21.1,21.1,0,1,0.0,1.0
757.7,69.0,14.1,3.6,0.0,0.0,20.2,19.9,0,1,0.0,1.0
758.4,68.0,13.1,4.0,0.0,0.0,19.2,19.2,0,0,0.0,1.0
759.1,66.0,12.3,4.0,0.0,0.0,18.8,18.8,0,0,0.0,1.0
760.2,67.0,12.4,4.9,0.0,0.0,18.6,18.6,0,0,0.0,1.0
761.0,67.0,12.0,4.5,0.0,0.0,18.1,18.2,0,0,0.0,1.0
761.4,68.0,11.7,4.9,0.0,0.0,17.6,17.7,0,0,0.0,1.0
761.3,69.0,11.4,4.5,0.0,0.0,16.9,17.2,0,0,0.0,1.0
761.4,68.0,10.8,4.9,0.0,0.0,16.5,16.8,0,0,0.0,1.0
761.1,68.0,10.6,5.8,0.0,0.0,16.2,16.5,0,0,0.0,1.0
761.1,69.0,10.6,5.4,0.0,0.0,15.9,16.3,0,0,0.0,1.0
761.4,69.0,10.2,5.8,0.0,0.0,15.6,15.9,0,0,0.0,1.0
761.9,70.0,10.3,6.3,0.0,0.0,15.4,15.7,0,0,0.0,1.0
762.4,70.0,10.2,6.3,0.0,0.0,15.3,15.6,0,1,0.0,1.0
762.9,71.0,10.5,6.3,0.0,0.0,15.4,15.7,0,1,0.0,1.0
763.9,67.0,10.0,5.8,0.0,0.0,15.7,16.1,0,1,0.0,1.0
764.5,62.0,9.2,6.3,0.0,0.0,15.9,16.5,0,1,0.0,1.0
764.4,58.0,9.1,6.3,0.0,0.0,16.9,17.5,0,1,0.0,1.0
763.8,53.0,8.6,6.7,0.0,0.0,17.6,18.3,0,1,0.0,1.0
763.1,54.0,9.4,5.8,0.0,0.0,18.2,18.9,0,1,0.0,1.0
762.6,57.0,10.2,6.3,0.0,0.0,18.4,18.9,0,1,0.0,1.0
761.9,57.0,10.4,5.4,0.0,0.0,18.7,19.2,0,1,0.0,1.0
761.0,57.0,10.5,5.4,0.0,0.0,18.8,19.3,0,1,0.0,1.0
760.8,55.0,10.2,5.4,0.0,0.0,18.9,19.4,0,1,0.0,1.0
761.5,67.0,12.4,4.9,0.0,0.0,18.6,18.6,0,1,0.0,1.0
762.3,75.0,13.0,4.5,0.0,0.0,17.4,17.4,0,1,0.0,1.0
763.0,69.0,11.4,4.0,0.0,0.0,16.9,17.1,0,0,0.0,1.0
763.5,61.0,9.5,3.6,0.0,0.0,16.6,17.1,0,0,0.0,1.0
764.3,57.0,8.8,6.3,0.0,0.0,16.8,17.4,0,0,0.0,1.0
763.9,53.0,8.0,6.7,0.0,0.0,16.9,17.7,0,0,0.0,1.0
764.1,56.0,8.8,6.7,0.0,0.0,17.0,17.7,0,0,0.0,1.0
763.8,56.0,8.6,6.3,0.0,0.0,16.8,17.5,0,0,0.0,1.0
763.3,54.0,8.0,6.7,0.0,0.0,16.6,17.4,0,0,0.0,1.0
763.2,52.0,7.4,6.7,0.0,0.0,16.4,17.3,0,0,0.0,1.0
762.7,51.0,7.0,6.3,0.0,0.0,16.3,17.3,0,0,0.0,1.0
763.3,54.0,7.9,5.8,0.0,0.0,16.5,17.3,0,0,0.0,1.0
763.6,53.0,7.7,5.4,0.0,0.0,16.4,17.3,0,0,0.0,1.0
764.6,55.0,8.1,5.8,0.0,0.0,16.5,17.3,0,1,0.0,1.0
765.1,54.0,7.7,4.9,0.0,0.0,16.3,17.1,0,1,0.0,1.0
765.9,52.0,8.0,4.9,0.0,0.0,17.1,18.0,0,1,0.0,1.0
766.1,49.0,8.1,4.9,0.0,0.0,18.2,19.1,0,1,0.0,1.0
766.1,48.0,8.8,5.4,0.0,0.0,19.3,20.2,0,1,0.0,1.0
765.4,46.0,9.1,4.5,0.0,0.0,20.1,21.2,0,1,0.0,1.0
764.6,45.0,9.4,4.9,0.0,0.0,20.9,21.9,0,1,0.0,1.0
763.8,45.0,9.6,5.8,0.0,0.0,21.3,22.1,0,1,0.0,1.0
762.9,45.0,10.0,5.4,0.0,0.0,21.8,22.5,0,1,0.0,1.0
762.6,47.0,10.5,4.0,0.0,0.0,21.7,22.3,0,1,0.0,1.0
762.9,56.0,12.6,3.6,0.0,0.0,21.2,21.7,0,1,0.0,1.0
763.0,60.0,12.4,3.1,0.0,0.0,20.1,20.4,0,1,0.0,1.0
763.7,66.0,12.7,2.7,0.0,0.0,19.2,19.2,0,1,0.0,1.0
764.5,68.0,12.5,2.7,0.0,0.0,18.5,18.6,0,0,0.0,1.0
765.3,68.0,12.4,2.2,0.0,0.0,18.3,18.4,0,0,0.0,1.0
765.6,71.0,12.9,2.2,0.0,0.0,18.3,18.3,0,0,0.0,1.0
765.4,72.0,12.9,2.7,0.0,0.0,18.1,18.1,0,0,0.0,1.0
765.4,73.0,13.0,1.8,0.0,0.0,17.9,17.9,0,0,0.0,1.0
764.5,64.0,11.4,3.1,0.0,0.0,18.1,18.3,0,0,0.0,1.0
764.0,62.0,11.9,4.0,0.0,0.0,19.2,19.3,0,0,0.0,1.0
763.7,61.0,12.0,4.0,0.0,0.0,19.6,19.7,0,0,0.0,1.0
763.3,64.0,12.2,3.6,0.0,0.0,19.1,19.2,0,0,0.0,1.0
763.1,58.0,10.6,3.6,0.0,0.0,18.7,19.1,0,0,0.0,1.0
763.1,56.0,10.5,3.6,0.0,0.0,19.1,19.6,0,0,0.0,1.0
763.5,54.0,10.3,3.6,0.0,0.0,19.3,19.8,0,1,0.0,1.0
763.9,58.0,10.9,3.1,0.0,0.0,19.0,19.4,0,1,0.0,1.0
763.8,54.0,9.4,3.1,0.0,0.0,18.3,18.9,0,1,0.0,1.0
763.8,48.0,8.4,3.1,0.0,0.0,18.9,19.8,0,1,0.0,1.0
763.9,50.0,9.9,3.1,0.0,0.0,19.8,20.7,0,1,0.0,1.0
763.4,51.0,10.0,3.6,0.0,0.0,19.8,20.5,0,1,0.0,1.0
762.7,51.0,10.4,4.0,0.0,0.0,20.1,20.9,0,1,0.0,1.0
762.0,50.0,10.6,4.5,0.0,0.0,20.7,21.5,0,1,0.0,1.0
761.0,49.0,10.7,4.9,0.0,0.0,21.2,21.9,0,1,0.0,1.0
760.9,51.0,11.6,4.5,0.0,0.0,21.8,22.2,0,1,0.0,1.0
761.0,59.0,13.3,5.8,0.0,0.0,21.3,21.7,0,1,0.0,1.0
761.4,60.0,12.4,4.9,0.0,0.0,20.2,20.4,0,1,0.0,1.0
761.8,79.0,16.0,3.1,0.0,0.0,20.4,19.8,0,1,0.0,1.0
762.3,82.0,15.4,2.7,0.0,0.0,18.9,18.5,0,0,0.0,1.0
762.6,85.0,15.8,2.2,0.0,0.0,18.8,18.3,0,0,0.0,1.0
763.0,87.0,16.2,1.8,0.0,0.0,18.9,18.4,0,0,-0.38268343236508956,0.9238795325112868
762.4,86.0,16.1,4.5,0.0,0.0,19.0,18.5,0,0,0.0,1.0
762.1,83.0,15.7,4.0,0.0,0.0,19.1,18.6,0,0,0.0,1.0
761.9,81.0,15.2,4.5,0.0,0.0,19.0,18.6,0,0,0.0,1.0
761.4,81.0,15.2,4.0,0.0,0.0,18.9,18.5,0,0,0.0,1.0
761.0,79.0,14.9,3.6,0.0,0.0,19.0,18.6,0,0,0.0,1.0
760.6,74.0,14.2,4.0,0.0,0.0,19.1,18.9,0,0,0.0,1.0
760.6,75.0,14.7,3.1,0.0,0.0,19.6,19.2,0,0,0.0,1.0
761.0,80.0,15.2,3.1,0.0,0.0,19.2,18.7,0,0,0.0,1.0
761.2,81.0,15.1,2.7,0.0,0.0,18.9,18.4,0,1,0.0,1.0
761.7,79.0,14.8,2.7,0.0,0.0,18.9,18.5,0,1,0.0,1.0
762.2,77.0,14.9,2.2,0.0,0.0,19.4,19.1,0,1,0.0,1.0
762.6,73.0,14.7,3.1,0.0,0.0,20.1,19.7,0,1,0.0,1.0
762.5,66.0,14.1,2.7,0.0,0.0,20.7,20.7,0,1,0.0,1.0
762.2,61.0,14.3,3.1,0.0,0.0,22.2,22.2,0,1,0.0,1.0
