Barometer - mm Hg,Hum - %,Wind Speed - m/s,Rain - mm,Heat Index - °C,Temp - °C,Season,Day_Night,Wind_Dir_sin,Wind_Dir_cos
760.3,70.0,2.7,0.0,3.122364924487357,21.5,0,1,0.0,1.0
760.7,73.0,2.7,0.0,3.091042453358316,20.6,0,1,0.0,1.0
760.9,75.0,2.2,0.0,3.077312260546414,20.2,0,1,0.0,1.0
761.4,80.0,3.6,0.0,3.0587070727153796,19.7,0,0,0.0,1.0
761.8,83.0,2.7,0.0,3.039749158970765,19.3,0,0,0.0,1.0
762.2,80.0,4.0,0.0,3.044522437723423,19.4,0,0,0.0,1.0
762.2,80.0,4.9,0.0,3.0587070727153796,19.6,0,0,0.0,1.0
762.2,80.0,4.5,0.0,3.0492730404820207,19.5,0,0,0.0,1.0
761.7,78.0,4.0,0.0,3.0633909220278057,19.8,0,0,0.0,1.0
761.3,76.0,4.5,0.0,3.0819099697950434,20.2,0,0,0.0,1.0
761.3,78.0,3.1,0.0,3.068052935133617,19.9,0,0,0.0,1.0
761.0,83.0,3.1,0.0,3.0587070727153796,19.6,0,0,0.0,1.0
760.6,76.0,4.0,0.0,3.0587070727153796,19.8,0,0,0.0,1.0
761.2,82.0,3.1,0.0,3.086486636822455,20.1,0,0,0.0,1.0
761.4,82.0,2.7,0.0,3.054001181677967,19.5,0,1,0.0,1.0
761.9,82.0,2.2,0.0,3.0492730404820207,19.4,0,1,0.0,1.0
762.3,75.0,3.1,0.0,3.0492730404820207,19.6,0,1,0.0,1.0
762.6,71.0,2.7,0.0,3.095577608523707,20.8,0,1,0.0,1.0
762.9,64.0,3.6,0.0,3.139832617527748,22.1,0,1,0.0,1.0
762.6,59.0,2.7,0.0,3.2068032436339315,23.3,0,1,0.0,1.0
761.7,57.0,3.6,0.0,3.2308043957334744,24.0,0,1,0.0,1.0
760.9,58.0,4.0,0.0,3.242592351485517,24.2,0,1,0.0,1.0
760.3,57.0,4.9,0.0,3.242592351485517,24.3,0,1,0.0,1.0
759.8,58.0,4.0,0.0,3.246490991901174,24.4,0,1,0.0,1.0
759.8,59.0,4.5,0.0,3.242592351485517,24.2,0,1,0.0,1.0
759.8,63.0,4.5,0.0,3.2308043957334744,23.7,0,1,0.0,1.0
760.1,65.0,4.9,0.0,3.1822118404966093,22.7,0,1,0.0,1.0
760.0,64.0,4.5,0.0,3.1570004211501135,22.3,0,0,0.0,1.0
761.2,71.0,4.0,0.0,3.152736022363656,22.1,0,0,0.0,1.0
761.8,75.0,3.1,0.0,3.1179499062782403,21.2,0,0,0.0,1.0
762.1,76.0,3.6,0.0,3.109060958860994,20.9,0,0,0.0,1.0
761.7,78.0,3.6,0.0,3.1135153092103742,20.9,0,0,0.0,1.0
761.7,73.0,3.6,0.0,3.109060958860994,21.2,0,0,0.0,1.0
761.3,70.0,4.9,0.0,3.104586678466073,21.2,0,0,0.0,1.0
